model,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse
LinearRegression,0.9743715809323413,0.703617060402153,2275060.7267016363,4939130.897918435,5117196.331454609,12403621.122783208
RandomForest,0.9128656840866364,0.6381958146878752,808506.0219867362,1847955.6591210854,9435518.802838441,13704357.664301692
