DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude,City,State,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),SiteEnergyUse(kBtu)_log1p,PropertyGFATotal_log1p
2016,NonResidential,Large Office,1921,1.0,4,127268,127268,0,"Non-Refrigerated Warehouse, Office, Retail Store",Office,62512.0,Retail Store,53971.0,Non-Refrigerated Warehouse,5000.0,47.61166,-122.33528,Seattle,WA,,7711757.5,15.858256799948174,11.754058235643996
2016,NonResidential,Large Office,1983,1.0,29,500000,500000,0,"Office, Parking, Retail Store",Office,411301.0,Parking,80005.0,Retail Store,14528.0,47.61125,-122.33494,Seattle,WA,201720152014201220102008,18848780.0,16.751958801332187,13.122365377402328
2016,NonResidential,Large Office,1926,0.0,10,132326,132326,0,"Office, Other, Retail Store",Office,92006.0,Other,12610.0,Retail Store,9835.0,47.61005,-122.3361,Seattle,WA,,6029020.0,15.61209520063018,11.793031410913876
2016,NonResidential,Large Office,1984,1.0,6,109830,96630,13200,"Office, Other, Parking, Retail Store",Office,83485.0,Parking,13200.0,Retail Store,5000.0,47.61033,-122.3357,Seattle,WA,,7335905.5,15.808291547471894,11.606698099721363
2016,NonResidential,Hotel,1973,0.0,19,332067,272787,59280,Hotel,Hotel,332067.0,,,,,47.60996,-122.33572,Seattle,WA,,37785552.0,17.447437391767203,12.71309504620313
2016,NonResidential,Large Office,1910,1.0,10,130513,130513,0,"Office, Restaurant, Retail Store",Office,87391.0,Retail Store,32264.0,Restaurant,10858.0,47.60991,-122.33687,Seattle,WA,,11651200.0,16.270919822791317,11.779235779684315
2016,NonResidential,Small- and Mid-Sized Office,1920,1.0,8,60660,60660,0,"Office, Retail Store",Office,41958.0,Retail Store,4800.0,,,47.60953,-122.33647,Seattle,WA,,2586116.0,14.765668080909968,11.013056266434749
2016,NonResidential,Large Office,1929,1.0,14,137350,137350,0,Office,Office,124508.0,,,,,47.60902,-122.33674,Seattle,WA,,6366084.5,15.666495317459717,11.830294972166737
2016,NonResidential,Large Office,1929,1.0,15,151039,151039,0,Office,Office,125473.0,,,,,47.60923,-122.33625,Seattle,WA,,5446624.0,15.51050670875996,11.925299981379329
2016,NonResidential,Large Office,1985,1.0,30,755000,620338,134662,"Bank Branch, Office, Other, Parking, Restaurant",Office,643083.0,Parking,126891.0,Restaurant,13422.0,47.61022,-122.33745,Seattle,WA,,52226204.0,17.771094938381506,13.534474352733596
2016,NonResidential,Small- and Mid-Sized Office,1906,1.0,4,63540,63540,0,Office,Office,56747.0,,,,,47.60995,-122.33904,Seattle,WA,,3518459.5,15.07353409395085,11.059440645817386
2016,NonResidential,Large Office,1927,1.0,10,130893,130893,0,"Medical Office, Office, Supermarket/Grocery Store",Office,87925.0,Supermarket/Grocery Store,27177.0,Medical Office,6644.0,47.60987,-122.33824,Seattle,WA,,6962073.0,15.755987976426592,11.782143114331042
2016,NonResidential,Mixed Use Property,1910,1.0,5,79920,79920,0,"Office, Other, Retail Store",Office,39960.0,Retail Store,26640.0,Other,13320.0,47.60821,-122.33899,Seattle,WA,,3009463.75,14.917272796992243,11.288793925756666
2016,Campus,Mixed Use Property,1908,1.0,4,137400,137400,0,"Food Sales, Multifamily Housing, Office, Other - Education, Other - Restaurant/Bar, Pre-school/Daycare, Restaurant, Retail Store, Supermarket/Grocery Store",Retail Store,44078.0,Other - Restaurant/Bar,19182.0,Multifamily Housing,14380.0,47.60881,-122.34119,Seattle,WA,,14940504.0,16.51958653897184,11.83065893676428
2016,NonResidential,Other,1996,1.0,6,147852,61423,86429,"Office, Other - Restaurant/Bar, Parking, Retail Store",Parking,64821.0,Retail Store,40629.0,Other - Restaurant/Bar,13039.0,47.61164,-122.33446,Seattle,WA,,9671619.0,16.084706381836625,11.903973815910073
2016,NonResidential,Other,1996,0.0,4,267335,100375,166960,"Movie Theater, Other - Restaurant/Bar, Parking",Parking,166960.0,Movie Theater,69947.0,Other - Restaurant/Bar,27400.0,47.61185,-122.33421,Seattle,WA,,7273155.5,15.799700936848248,12.496261573193136
2016,NonResidential,Large Office,1989,1.0,56,1605578,1215718,389860,"Office, Other, Parking",Office,1314475.0,Parking,389860.0,Other,30744.0,47.61043,-122.33206,Seattle,WA,20092005,49517704.0,17.71784084035551,14.288994997156012
2016,NonResidential,Large Office,1980,1.0,36,794592,794592,0,"Office, Other, Parking",Office,748011.0,Parking,36606.0,Other,9975.0,47.60967,-122.33229,Seattle,WA,20092005,26689658.0,17.09978674497837,13.585585312859951
2016,NonResidential,Large Office,1971,1.0,21,456304,363100,93204,"Office, Parking",Office,342952.0,Parking,106466.0,,,47.60909,-122.33202,Seattle,WA,,19397324.0,16.780645727928388,13.030916724558724
2016,NonResidential,Large Office,1986,1.0,12,115857,100717,15140,"Office, Parking, Restaurant",Office,104788.0,Parking,11844.0,Restaurant,528.0,47.61029,-122.34089,Seattle,WA,2017201520142013,4757299.5,15.37519094348444,11.660120582288606
2016,NonResidential,Small- and Mid-Sized Office,1999,1.0,4,87500,70000,17500,"Office, Other",Office,70090.0,Other,1672.0,,,47.61116,-122.34748,Seattle,WA,,4549892.0,15.3306142741671,11.37940550085183
2016,NonResidential,Large Office,1998,1.0,11,374405,189629,184776,"Laboratory, Office",Office,150969.0,Laboratory,41829.0,,,47.6117,-122.34778,Seattle,WA,201620152012,13329024.0,16.40545454619397,12.83309604909819
2016,NonResidential,Other,1985,1.0,12,193500,155500,38000,Other,Other,146689.0,,,,,47.61252,-122.34351,Seattle,WA,,14436982.0,16.4853037360813,12.173037959397275
2016,NonResidential,Large Office,1923,1.0,11,102846,102846,0,"Office, Retail Store",Office,93879.0,Retail Store,7500.0,,,47.61108,-122.34217,Seattle,WA,,5327249.5,15.488345809385216,11.540997725963418
2016,NonResidential,Small- and Mid-Sized Office,1925,1.0,4,52800,52800,0,"Office, Restaurant",Office,38880.0,Restaurant,12960.0,,,47.61304,-122.34059,Seattle,WA,,2429021.0,14.702999265168488,10.874285408908944
2016,Campus,Mixed Use Property,1913,3.0,10,258497,258497,0,"Data Center, Office, Parking, Restaurant, Retail Store",Parking,155000.0,Office,145594.0,Retail Store,103200.0,47.61229,-122.33903,Seattle,WA,,20779796.0,16.849491774578976,12.462643235956785
2016,NonResidential,Retail Store,1929,1.0,8,861702,861702,0,"Other, Retail Store",Retail Store,509342.0,Other,380639.0,,,47.61098,-122.33815,Seattle,WA,,17666646.0,16.68718906964012,13.666665942711877
2016,NonResidential,Other,1999,1.0,5,206950,109550,97400,Other,Other,206950.0,,,,,47.61,-122.32922,Seattle,WA,,19295226.0,16.775368317590534,12.240237329250249
2016,NonResidential,Other,1990,1.0,6,1400000,1400000,0,"Convention Center, Parking",Convention Center,1072000.0,Parking,686750.0,,,47.61195,-122.33167,Seattle,WA,,0.0,0.0,14.151983508870948
2016,NonResidential,Other,1988,1.0,9,46710,46710,0,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,46710.0,,,,,47.61048,-122.32837,Seattle,WA,,4169431.5,15.243290493386649,10.75173496195892
2016,NonResidential,Medical Office,1945,1.0,3,266000,162000,104000,"Medical Office, Parking",Medical Office,162000.0,Parking,104000.0,,,47.61048,-122.32837,Seattle,WA,,13911761.0,16.448245227336855,12.491255347155263
2016,NonResidential,Medical Office,1992,1.0,14,690158,282363,407795,"Medical Office, Parking",Medical Office,270384.0,Parking,270383.0,,,47.60921,-122.32425,Seattle,WA,2012201020072006,21156670.0,16.867465827435698,13.444677284810034
2016,NonResidential,Mixed Use Property,2001,1.0,6,378443,200783,177660,"Data Center, Office, Parking, Performing Arts, Restaurant, Retail Store",Parking,164332.0,Office,108781.0,Data Center,54184.0,47.61915,-122.34857,Seattle,WA,,55073120.0,17.82417233295765,12.84382338846974
2016,NonResidential,Mixed Use Property,2001,1.0,6,213834,108912,104922,"Data Center, Financial Office, Office, Other, Parking, Restaurant",Parking,104922.0,Data Center,54385.0,Office,37721.0,47.61915,-122.34857,Seattle,WA,,75073888.0,18.13398337318937,12.272959968571612
2016,NonResidential,Hotel,1979,1.0,5,109017,79608,29409,Hotel,Hotel,109017.0,,,,,47.62036,-122.34588,Seattle,WA,,9474745.0,16.064140501185577,11.599268285192244
2016,NonResidential,Large Office,1981,1.0,5,275734,237282,38452,"Office, Parking",Office,228504.0,Parking,47404.0,,,47.62177,-122.36158,Seattle,WA,,16373232.0,16.61115842526611,12.527195538537352
2016,NonResidential,Warehouse,2001,1.0,1,123061,123061,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,123061.0,,,,,47.56064,-122.32522,Seattle,WA,,1987934.625,14.502607283883613,11.720443572397098
2016,NonResidential,Distribution Center,1963,1.0,1,59090,59090,0,"Distribution Center, Office",Distribution Center,40272.0,Office,18818.0,,,47.54868,-122.3255,Seattle,WA,,2756214.75,14.829369191796232,10.986833907533804
2016,NonResidential,Warehouse,1963,1.0,1,106000,106000,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,106001.0,,,,,47.5471,-122.32406,Seattle,WA,,763364.5,13.54549222571245,11.571203807011967
2016,NonResidential,Large Office,1962,1.0,3,158600,120200,38400,"Laboratory, Office, Parking",Office,125779.0,Parking,32821.0,Laboratory,20000.0,47.63349,-122.32634,Seattle,WA,,18309150.0,16.722911547470797,11.974146893333248
2016,NonResidential,Distribution Center,1960,1.0,1,119661,119661,0,Distribution Center,Distribution Center,118733.0,,,,,47.53764,-122.3232,Seattle,WA,,775729.1875,13.561560042184286,11.69242638082741
2016,NonResidential,Large Office,2001,1.0,7,139200,94472,44728,Office,Office,82098.0,,,,,47.62958,-122.32826,Seattle,WA,,4342597.0,15.283983344488115,11.843674210764698
2016,NonResidential,Small- and Mid-Sized Office,1984,1.0,6,95721,61800,33921,"Office, Parking",Office,95721.0,Parking,31746.0,,,47.62566,-122.34287,Seattle,WA,,3063504.5,14.93507040647837,11.469203436078995
2016,NonResidential,Large Office,1996,2.0,5,213283,98055,115228,"Office, Parking",Office,105563.0,Parking,0.0,,,47.62929,-122.34194,Seattle,WA,20112009,5661689.5,15.549233080496554,12.27037988992534
2016,NonResidential,Large Office,2001,1.0,3,103697,56041,47656,Office,Office,63199.0,,,,,47.64776,-122.33924,Seattle,WA,,11319836.0,16.242067231342354,11.549238107628549
2016,NonResidential,Small- and Mid-Sized Office,1974,1.0,5,74880,74880,0,"Office, Parking",Office,71751.0,Parking,0.0,,,47.70105,-122.32659,Seattle,WA,,5134607.5,15.451514156958227,11.223655465763157
2016,NonResidential,Small- and Mid-Sized Office,1979,1.0,6,88774,88774,0,"Office, Parking",Office,85339.0,Parking,0.0,,,47.69999,-122.32663,Seattle,WA,,6029121.5,15.612112035725898,11.393860357811288
2016,NonResidential,Large Office,1983,1.0,5,122250,122250,0,"Adult Education, Bank Branch, Office, Parking",Office,91281.0,Adult Education,30177.0,Bank Branch,5931.0,47.69917,-122.3268,Seattle,WA,2009,5535626.0,15.52671539684207,11.713831587262764
2016,NonResidential,Small- and Mid-Sized Office,1979,1.0,4,53730,53730,0,"Office, Parking",Office,53730.0,Parking,0.0,,,47.70063,-122.32487,Seattle,WA,,4742869.0,15.372152995671104,10.891745395126074
2016,NonResidential,Small- and Mid-Sized Office,1960,1.0,3,55593,55593,0,Office,Office,55593.0,,,,,47.5671,-122.36416,Seattle,WA,,4224872.5,15.256499877496774,10.92583056074651
2016,NonResidential,Large Office,1982,1.0,4,134056,73096,60960,"Office, Parking",Office,72066.0,Parking,59137.0,,,47.62269,-122.33224,Seattle,WA,,4695139.0,15.36203848913626,11.806020361621872
2016,NonResidential,Retail Store,2005,1.0,1,158415,158415,0,Retail Store,Retail Store,158415.0,,,,,47.5653,-122.33076,Seattle,WA,,22394416.0,16.92432224468812,11.972979763362297
2016,NonResidential,Large Office,1929,1.0,8,287819,287819,0,"Data Center, Office, Other, Restaurant",Office,155985.0,Data Center,88350.0,Other,15630.0,47.61907,-122.33651,Seattle,WA,,48406556.0,17.695145837717536,12.570090563724165
2016,NonResidential,Other,1975,1.0,8,158738,158738,0,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,158738.0,,,,,47.60953,-122.32793,Seattle,WA,,61762380.0,17.938805015398806,11.9750166230156
2016,NonResidential,Small- and Mid-Sized Office,1985,1.0,4,86995,58195,28800,"Office, Parking",Office,58195.0,Parking,28800.0,,,47.62003,-122.35706,Seattle,WA,,2991674.75,14.911344239877597,11.373617419568252
2016,NonResidential,Retail Store,1999,1.0,1,164437,164437,0,"Parking, Retail Store, Supermarket/Grocery Store",Retail Store,102653.0,Supermarket/Grocery Store,74102.0,Parking,0.0,47.66057,-122.36857,Seattle,WA,,18390344.0,16.727336356600293,12.010288878446971
2016,NonResidential,Large Office,2009,1.0,5,184482,118248,66234,"Office, Other, Parking",Office,118016.0,Parking,66234.0,Other,1595.0,47.62402,-122.33755,Seattle,WA,,5671256.0,15.55092134425534,12.125312597296077
2016,NonResidential,Laboratory,1928,1.0,3,55200,55200,0,"Data Center, Laboratory",Laboratory,54880.0,Data Center,320.0,,,47.62348,-122.33743,Seattle,WA,,11594121.0,16.266008803510598,10.918736348043124
2016,NonResidential,Laboratory,2003,1.0,4,241159,129366,111793,Laboratory,Laboratory,176171.0,,,,,47.62254,-122.33753,Seattle,WA,,33713876.0,17.333420090979732,12.393215892603342
2016,NonResidential,Large Office,2004,1.0,6,139282,86700,52582,"Financial Office, Food Service, Office, Other, Parking",Office,79384.0,Parking,52582.0,Financial Office,3027.0,47.62286,-122.33804,Seattle,WA,,3238216.0,14.990533427651162,11.844263113555304
2016,NonResidential,Large Office,2009,1.0,5,271071,172371,98700,"Medical Office, Office, Parking",Office,168132.0,Parking,96918.0,Medical Office,16862.0,47.62383,-122.3356,Seattle,WA,,7851334.5,15.876194202677103,12.510139747231278
2016,NonResidential,Warehouse,1914,1.0,5,127800,127800,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,127800.0,,,,,47.62572,-122.33389,Seattle,WA,,2767491.0,14.833452052865177,11.758229645621093
2016,NonResidential,Large Office,2002,1.0,5,560516,353919,206597,"Office, Parking",Office,372503.0,Parking,189133.0,,,47.62855,-122.33035,Seattle,WA,,30083496.0,17.21948730693757,13.23661485109685
2016,NonResidential,Large Office,2001,1.0,6,226592,131592,95000,"Office, Parking",Office,131592.0,Parking,83178.0,,,47.62621,-122.33128,Seattle,WA,,11963428.0,16.297364971080157,12.330910735660234
2016,Campus,Other,1997,1.0,5,535947,535947,0,"Other, Parking",Other,535947.0,Parking,103983.0,,,47.62855,-122.33035,Seattle,WA,,131373880.0,18.69355786952283,13.191792420421312
2016,NonResidential,Mixed Use Property,2003,1.0,5,159700,109046,50654,"Office, Other, Parking, Retail Store",Other,72407.0,Parking,49314.0,Office,37406.0,47.62121,-122.33885,Seattle,WA,,31371618.0,17.26141418865342,11.981058595924264
2016,NonResidential,Large Office,2006,1.0,4,209816,136143,73673,"Fitness Center/Health Club/Gym, Office, Parking, Restaurant",Office,113803.0,Parking,79091.0,Fitness Center/Health Club/Gym,15803.0,47.62137,-122.33744,Seattle,WA,201620152014201320092008,6917478.5,15.749562027140453,12.25399100121357
2016,NonResidential,Large Office,2006,1.0,6,303103,193198,109905,"Bank Branch, Office, Parking",Office,178628.0,Parking,99368.0,Bank Branch,6015.0,47.62131,-122.33814,Seattle,WA,201620152014201320112009,7519466.5,15.83300588224858,12.621831259923514
2016,NonResidential,Mixed Use Property,1954,1.0,3,67380,67380,0,"Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Parking",Non-Refrigerated Warehouse,29732.0,Office,17372.0,Other - Entertainment/Public Assembly,13639.0,47.62002,-122.33687,Seattle,WA,,2755829.0,14.829229225613757,11.118118358049584
2016,NonResidential,Laboratory,1963,1.0,4,102235,102235,0,Laboratory,Laboratory,103135.0,,,,,47.62405,-122.34036,Seattle,WA,,24395228.0,17.009898138357517,11.53503914521534
2016,NonResidential,Mixed Use Property,2008,1.0,5,436497,282813,153684,"Laboratory, Office, Parking",Laboratory,175364.0,Parking,173235.0,Office,88901.0,47.62405,-122.34036,Seattle,WA,,45252356.0,17.627765315151446,12.986539072349808
2016,NonResidential,Small- and Mid-Sized Office,1974,1.0,5,88062,67236,20826,"Office, Parking",Office,64752.0,Parking,21396.0,,,47.62115,-122.3597,Seattle,WA,,3415561.25,15.043852678723573,11.38580774641058
2016,NonResidential,Small- and Mid-Sized Office,1972,1.0,5,87178,66762,20416,"Office, Parking",Office,66648.0,Parking,15167.0,,,47.62224,-122.3585,Seattle,WA,,3632613.75,15.105463263741806,11.375718755205837
2016,NonResidential,Small- and Mid-Sized Office,1970,1.0,5,87178,66762,20416,"Office, Parking",Office,66747.0,Parking,28285.0,,,47.62224,-122.3585,Seattle,WA,,3493093.75,15.066298649101006,11.375718755205837
2016,NonResidential,Small- and Mid-Sized Office,1971,1.0,5,88000,66400,21600,"Office, Parking",Office,69691.0,Parking,17487.0,,,47.62014,-122.35768,Seattle,WA,,3484915.5,15.063954642061889,11.38510345703214
2016,NonResidential,Medical Office,1988,1.0,4,196749,108344,88405,"Medical Office, Parking",Medical Office,108344.0,Parking,88405.0,,,47.65821,-122.31831,Seattle,WA,,19165116.0,16.768602361656843,12.18968916627965
2016,NonResidential,Medical Office,1994,1.0,4,191276,95995,95281,Medical Office,Medical Office,95995.0,,,,,47.65884,-122.3183,Seattle,WA,,8422861.0,15.94646023345202,12.16147791819491
2016,NonResidential,Self-Storage Facility,1946,2.0,2,111445,111445,0,"Fitness Center/Health Club/Gym, Office, Other - Education, Other - Recreation, Other - Restaurant/Bar, Outpatient Rehabilitation/Physical Therapy, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant, Retail Store, Self-Storage Facility, Vocat",,,,,,,47.66838,-122.3931,Seattle,WA,,5697472.5,15.55553338892837,11.621295447636063
2016,NonResidential,Warehouse,1997,1.0,4,98475,98475,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,98475.0,,,,,47.56885,-122.37121,Seattle,WA,,1090496.625,13.902144686721403,11.497568142649186
2016,NonResidential,Hospital,2000,1.0,7,351530,201075,150455,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),215602.0,,,,,47.62667,-122.32965,Seattle,WA,,42709624.0,17.56993486263394,12.770053179800655
2016,NonResidential,Supermarket / Grocery Store,1995,1.0,2,308965,121087,187878,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,121087.0,Parking,0.0,Parking,0.0,47.7237,-122.29232,Seattle,WA,,14512786.0,16.490540680847865,12.640986517463418
2016,NonResidential,Supermarket / Grocery Store,2008,1.0,1,63225,63225,0,Supermarket/Grocery Store,Supermarket/Grocery Store,63225.0,,,,,47.56895,-122.33775,Seattle,WA,,6522551.5,15.69077634502157,11.054470887941358
2016,Nonresidential COS,Other,1955,0.0,1,113780,113780,0,"Office, Other - Services",Other - Services,91532.0,Office,22248.0,,,47.56548,-122.35378,Seattle,WA,,3574542.25,15.089347963710193,11.64203082715686
2016,NonResidential,Warehouse,1999,1.0,1,243044,243044,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,325424.0,,,,,47.56419,-122.34262,Seattle,WA,,1396082.25,14.149181195196864,12.401001890363212
2016,NonResidential,Other,2001,1.0,3,280252,123940,156312,"Office, Parking, Retail Store",Parking,156312.0,Office,116440.0,Retail Store,7500.0,47.64942,-122.35024,Seattle,WA,,11521702.0,16.259743032167375,12.543448045605032
2016,NonResidential,Other,1952,1.0,3,66462,53464,12998,"Other, Parking",Other,72000.0,Parking,15000.0,,,47.63549,-122.34103,Seattle,WA,,6876439.5,15.743611706841865,11.104400680823604
2016,NonResidential,Retail Store,1997,1.0,1,131387,131387,0,Retail Store,Retail Store,107931.0,,,,,47.72053,-122.34739,Seattle,WA,,8773058.0,15.987196106267437,11.785910056661423
2016,NonResidential,Warehouse,1999,1.0,3,94400,94400,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,67155.0,,,,,47.72377,-122.34095,Seattle,WA,,784364.5,13.572630389675156,11.455306945297822
2016,NonResidential,Other,1964,6.0,1,111900,111900,0,"Parking, Strip Mall",Strip Mall,124231.0,Parking,0.0,,,47.72546,-122.34659,Seattle,WA,,9814820.0,16.09940414813465,11.625369830810577
2016,NonResidential,Supermarket / Grocery Store,1984,0.0,1,144776,144776,0,Wholesale Club/Supercenter,Wholesale Club/Supercenter,144776.0,,,,,47.72803,-122.34214,Seattle,WA,,13424079.0,16.412560667146934,11.882949906538371
2016,NonResidential,Retail Store,1967,1.0,1,114000,114000,0,"Retail Store, Supermarket/Grocery Store",Retail Store,57805.0,Supermarket/Grocery Store,56312.0,,,47.7249,-122.34332,Seattle,WA,,17225444.0,16.661898209073104,11.643962499267984
2016,NonResidential,Supermarket / Grocery Store,1997,1.0,1,50083,50083,0,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,50065.0,Parking,0.0,,,47.7235,-122.34458,Seattle,WA,,8663691.0,15.974651517631251,10.821456874788838
2016,NonResidential,Large Office,1988,1.0,3,124071,95426,28645,Office,Office,96504.0,,,,,47.65086,-122.35412,Seattle,WA,,4991360.5,15.423219276203469,11.72861732123929
2016,NonResidential,Small- and Mid-Sized Office,2000,1.0,4,90000,53472,36528,Office,Office,90000.0,,,,,47.64963,-122.35158,Seattle,WA,,3897738.0,15.175907199393835,11.407576060361786
2016,NonResidential,Small- and Mid-Sized Office,2001,1.0,3,96041,62332,33709,"Office, Parking",Office,62232.0,Parking,33709.0,,,47.64849,-122.35041,Seattle,WA,,5413418.0,15.504391429027631,11.472540874774753
2016,NonResidential,Large Office,1999,1.0,3,280957,166128,114829,"Data Center, Office, Parking, Restaurant",Office,152579.0,Parking,93893.0,Data Center,7500.0,47.64822,-122.34848,Seattle,WA,2016201520142013201220112010,11325513.0,16.24256861461691,12.545960470952528
2016,NonResidential,Large Office,1999,1.0,4,243334,140302,103032,"Office, Parking",Office,138995.0,Parking,24549.0,,,47.64882,-122.34905,Seattle,WA,201720162012,8651835.0,15.973282110720556,12.402194373748076
2016,NonResidential,Mixed Use Property,1991,1.0,6,154660,154660,0,"Data Center, Library, Non-Refrigerated Warehouse, Office, Other - Entertainment/Public Assembly, Other - Recreation, Other - Services, Restaurant, Social/Meeting Hall",Other - Entertainment/Public Assembly,119815.0,Other - Recreation,63101.0,Social/Meeting Hall,26380.0,47.6074,-122.33777,Seattle,WA,,52960796.0,17.785062518573447,11.948990903938062
2016,NonResidential,Large Office,1982,1.0,5,390295,268920,121375,"Office, Parking",Office,243018.0,Parking,108408.0,,,47.55146,-122.32832,Seattle,WA,,7683885.0,15.854635966737623,12.874660704589417
2016,NonResidential,Warehouse,1967,1.0,2,90000,90000,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,70000.0,Office,20000.0,,,47.54983,-122.32858,Seattle,WA,,1429146.375,14.172588583154845,11.407576060361786
2016,NonResidential,Retail Store,1966,1.0,1,50200,50200,0,Retail Store,Retail Store,50200.0,,,,,47.55032,-122.32614,Seattle,WA,,1047461.0,13.861880653270768,10.823790225800138
2016,NonResidential,Small- and Mid-Sized Office,1925,1.0,6,94033,87833,6200,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store",Office,53993.0,Retail Store,24744.0,Parking,4500.0,47.66891,-122.38528,Seattle,WA,,4758198.0,15.375379793266353,11.451411697981356
2016,NonResidential,Warehouse,1941,1.0,2,63240,63240,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,63240.0,,,,,47.66724,-122.38553,Seattle,WA,,227566.7031,12.335203069144178,11.054708103975113
2016,NonResidential,Other,2008,1.0,5,322869,140415,182454,"Parking, Retail Store",Parking,182454.0,Retail Store,130744.0,,,47.66233,-122.3748,Seattle,WA,,17085344.0,16.653731636479538,12.68500504440909
2016,NonResidential,Self-Storage Facility,1988,1.0,4,130293,106893,23400,"Parking, Self-Storage Facility",Self-Storage Facility,130293.0,Parking,8800.0,,,47.64676,-122.37581,Seattle,WA,,465533.3125,13.050941084046103,11.777548714470212
2016,NonResidential,Warehouse,1997,1.0,4,106041,106041,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,106041.0,,,,,47.65567,-122.37478,Seattle,WA,,1123943.0,13.932354486130556,11.57159052103234
2016,NonResidential,Self-Storage Facility,1956,1.0,3,94470,94470,0,Self-Storage Facility,Self-Storage Facility,94470.0,,,,,47.63634,-122.3754,Seattle,WA,,1000796.875,13.816308114831225,11.456048188078173
2016,NonResidential,Large Office,2002,1.0,10,181694,143508,38186,"Office, Other, Parking",Office,150840.0,Parking,26946.0,Other,2155.0,47.59963,-122.32796,Seattle,WA,,7637986.0,15.848644644749916,12.110084736119012
2016,NonResidential,Warehouse,1966,1.0,1,22780,22780,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22780.0,,,,,47.54769,-122.3251,Seattle,WA,,402051.3125,12.90433748973192,10.033682134193954
2016,NonResidential,Distribution Center,1967,1.0,1,124472,124472,0,"Distribution Center, Parking",Distribution Center,124423.0,Parking,0.0,,,47.54187,-122.32714,Seattle,WA,,5464762.0,15.51383131177226,11.73184410389787
2016,NonResidential,Large Office,1970,1.0,22,227556,129000,98556,"Office, Parking",Office,227556.0,Parking,77887.79688,,,47.60411,-122.33225,Seattle,WA,,8493420.0,15.954802421767894,12.33515603544142
2016,NonResidential,Distribution Center,1967,1.0,1,50065,50065,0,"Distribution Center, Parking",Distribution Center,49918.0,Parking,0.0,,,47.54187,-122.32714,Seattle,WA,,1529510.25,14.240458797890929,10.82109741397618
2016,NonResidential,Distribution Center,1969,1.0,1,57540,57540,0,Distribution Center,Distribution Center,57540.0,,,,,47.54621,-122.33486,Seattle,WA,,2582687.0,14.76434127500298,10.960253016168982
2016,NonResidential,Warehouse,1966,1.0,1,85400,85400,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,85400.0,,,,,47.54853,-122.32814,Seattle,WA,,1536998.25,14.245342534557048,11.355113089309976
2016,NonResidential,Warehouse,1966,1.0,1,55700,55700,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,55700.0,,,,,47.54912,-122.32819,Seattle,WA,,519806.0938,13.161213048268394,10.92775337907558
2016,NonResidential,Small- and Mid-Sized Office,1964,1.0,1,53250,53250,0,"Office, Parking",Office,52759.0,Parking,0.0,,,47.54965,-122.3278,Seattle,WA,,1794187.25,14.400063249206152,10.882771862738064
2016,NonResidential,Small- and Mid-Sized Office,1987,1.0,6,78672,50245,28427,Office,Office,78672.0,,,,,47.62476,-122.34843,Seattle,WA,,2179719.75,14.59470733022996,11.27305530057358
2016,NonResidential,Warehouse,1986,1.0,3,64660,64660,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,64660.0,,,,,47.71286,-122.34422,Seattle,WA,,325513.0,12.693160750458514,11.076913516671745
2016,NonResidential,Mixed Use Property,1927,1.0,2,75844,55916,19928,"Office, Other, Parking",Other,28442.0,Office,28441.0,Parking,18961.0,47.61552,-122.31744,Seattle,WA,,3684188.5,15.11956111368805,11.236447063025771
2016,NonResidential,Distribution Center,1968,1.0,1,161678,161678,0,Distribution Center,Distribution Center,162425.0,,,,,47.5701,-122.33342,Seattle,WA,,9357230.0,16.05165997135313,11.993368167001472
2016,NonResidential,Distribution Center,1949,1.0,1,101101,101101,0,Distribution Center,Distribution Center,101101.0,,,,,47.56874,-122.33303,Seattle,WA,,21795830.0,16.897229270938787,11.523885187206565
