DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude,City,State,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),SiteEnergyUse(kBtu)_log1p,PropertyGFATotal_log1p
2016,NonResidential,Hotel,1978,1.0,5,68410,52210,16200,Hotel,Hotel,47994.0,,,,,47.61558,-122.34186,Seattle,WA,,4456714.5,15.309922617717223,11.13328890939415
2016,SPS-District K-12,K-12 School,1949,1.0,2,160645,160645,0,K-12 School,K-12 School,164229.0,,,,,47.70994,-122.29301,Seattle,WA,,6779173.0,15.72936582358628,11.986958465385596
2016,SPS-District K-12,K-12 School,1989,1.0,2,51582,51582,0,K-12 School,K-12 School,55166.0,,,,,47.6329,-122.35172,Seattle,WA,,0.0,0.0,10.850947439822312
2016,NonResidential,Small- and Mid-Sized Office,1906,1.0,3,87262,87262,0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,47.6641,-122.33118,Seattle,WA,,4145920.5,15.23763563788641,11.376681826100372
2016,NonResidential,Hotel,1994,1.0,4,81871,81871,0,Hotel,Hotel,81871.0,,,,,47.66583,-122.29965,Seattle,WA,,6668568.5,15.71291592712419,11.312912331044872
2016,NonResidential,Self-Storage Facility,1955,1.0,2,110356,110356,0,Self-Storage Facility,Self-Storage Facility,26225.0,,,,,47.66172,-122.29598,Seattle,WA,,318364.8125,12.670956354385986,11.611475844199504
2016,Campus,Mixed Use Property,1992,1.0,3,494835,494835,0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,47.53493,-122.31788,Seattle,WA,,448385312.0,19.92116349438856,13.111981673523193
2016,NonResidential,Warehouse,1961,3.0,2,714095,714095,0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,47.51138,-122.28875,Seattle,WA,,44731160.0,17.616180930806593,13.478772686065136
2016,SPS-District K-12,K-12 School,1990,1.0,2,54986,54986,0,K-12 School,K-12 School,54986.0,,,,,47.65671,-122.39047,Seattle,WA,2016,1650279.25,14.316455679938992,10.914852072639958
2016,SPS-District K-12,K-12 School,1950,1.0,2,175565,175565,0,K-12 School,K-12 School,182861.0,,,,,47.68252,-122.29498,Seattle,WA,,6399127.5,15.67167236718267,12.075770319568138
2016,NonResidential,Small- and Mid-Sized Office,1961,1.0,2,94900,94900,0,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,47.66587,-122.38476,Seattle,WA,,6186461.5,15.637873995032086,11.4605895219503
2016,NonResidential,Small- and Mid-Sized Office,1900,1.0,2,52554,52554,0,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,,,47.58034,-122.31132,Seattle,WA,,2951331.25,14.897767236540313,10.869615519257454
2016,NonResidential,K-12 School,1954,1.0,3,175015,175015,0,K-12 School,K-12 School,175015.0,,,,,47.68891,-122.33553,Seattle,WA,,6994740.5,15.760669210431033,12.072632677297742
2016,NonResidential,Self-Storage Facility,1911,1.0,3,70586,70586,0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,47.61351,-122.35129,Seattle,WA,,2158629.0,14.584984319173593,11.164601270548886
2016,NonResidential,Hotel,1969,1.0,24,332210,126240,205970,Hotel,Hotel,348630.0,,,,,47.60946,-122.33337,Seattle,WA,,16163194.0,16.598247301911137,12.713525588195903
2016,NonResidential,Large Office,1973,1.0,5,168115,168115,0,"Data Center, Office, Retail Store",Office,103362.0,Retail Store,65676.0,Data Center,493.0,47.6113,-122.33659,Seattle,WA,2016,9536161.0,16.070601656398004,12.03240949630686
2016,NonResidential,Other,1920,1.0,2,57428,57428,0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,,,47.61076,-122.33765,Seattle,WA,,1247362.0,14.036542280937914,10.958304681204568
2016,NonResidential,Small- and Mid-Sized Office,1910,1.0,8,59400,59400,0,"Office, Retail Store",Office,34947.0,Retail Store,4993.0,,,47.61048,-122.33794,Seattle,WA,,5071974.0,15.439240846064967,10.992066340225865
